/home/Student/s4823870/miniconda3/envs/conda-env/lib/python3.11/site-packages/torch/utils/data/dataloader.py:560: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Random Seed:  999
Generator(
  (main): Sequential(
    (0): ConvTranspose2d(100, 512, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (1): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): ConvTranspose2d(512, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (4): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): ConvTranspose2d(256, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (7): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace=True)
    (9): ConvTranspose2d(128, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (10): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU(inplace=True)
    (12): ConvTranspose2d(64, 3, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (13): Tanh()
  )
)
Discriminator(
  (main): Sequential(
    (0): Conv2d(3, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (1): LeakyReLU(negative_slope=0.2, inplace=True)
    (2): Conv2d(64, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (4): LeakyReLU(negative_slope=0.2, inplace=True)
    (5): Conv2d(128, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (6): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (7): LeakyReLU(negative_slope=0.2, inplace=True)
    (8): Conv2d(256, 512, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (9): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (10): LeakyReLU(negative_slope=0.2, inplace=True)
    (11): Conv2d(512, 1, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (12): Sigmoid()
  )
)
Starting Training Loop...
[0/5][0/724]	Loss_D: 1.7611	Loss_G: 5.2459	D(x): 0.5348	D(G(z)): 0.5840 / 0.0080
[0/5][50/724]	Loss_D: 0.2736	Loss_G: 29.1527	D(x): 0.8642	D(G(z)): 0.0000 / 0.0000
[0/5][100/724]	Loss_D: 0.3213	Loss_G: 8.2342	D(x): 0.8920	D(G(z)): 0.1055 / 0.0006
[0/5][150/724]	Loss_D: 0.4640	Loss_G: 5.0257	D(x): 0.7918	D(G(z)): 0.1260 / 0.0133
[0/5][200/724]	Loss_D: 0.8983	Loss_G: 6.8514	D(x): 0.9216	D(G(z)): 0.4934 / 0.0029
[0/5][250/724]	Loss_D: 0.3999	Loss_G: 3.0803	D(x): 0.8835	D(G(z)): 0.1734 / 0.0813
[0/5][300/724]	Loss_D: 0.4569	Loss_G: 3.6666	D(x): 0.8554	D(G(z)): 0.2102 / 0.0462
[0/5][350/724]	Loss_D: 0.4337	Loss_G: 5.2288	D(x): 0.8825	D(G(z)): 0.2183 / 0.0111
[0/5][400/724]	Loss_D: 0.5469	Loss_G: 6.2233	D(x): 0.9213	D(G(z)): 0.3043 / 0.0061
[0/5][450/724]	Loss_D: 0.9232	Loss_G: 7.4747	D(x): 0.9578	D(G(z)): 0.4971 / 0.0033
[0/5][500/724]	Loss_D: 0.5115	Loss_G: 3.7232	D(x): 0.7618	D(G(z)): 0.1123 / 0.0398
[0/5][550/724]	Loss_D: 0.8438	Loss_G: 3.5287	D(x): 0.5814	D(G(z)): 0.0242 / 0.0622
[0/5][600/724]	Loss_D: 0.5815	Loss_G: 6.9918	D(x): 0.9321	D(G(z)): 0.3275 / 0.0033
[0/5][650/724]	Loss_D: 0.9778	Loss_G: 3.1248	D(x): 0.5038	D(G(z)): 0.0061 / 0.0917
[0/5][700/724]	Loss_D: 0.9362	Loss_G: 9.3069	D(x): 0.9501	D(G(z)): 0.4925 / 0.0004
[1/5][0/724]	Loss_D: 0.5329	Loss_G: 5.1009	D(x): 0.9146	D(G(z)): 0.2954 / 0.0130
[1/5][50/724]	Loss_D: 0.4634	Loss_G: 5.2505	D(x): 0.8442	D(G(z)): 0.2192 / 0.0089
[1/5][100/724]	Loss_D: 0.5030	Loss_G: 3.5928	D(x): 0.7472	D(G(z)): 0.0745 / 0.0454
[1/5][150/724]	Loss_D: 0.9528	Loss_G: 2.8497	D(x): 0.5342	D(G(z)): 0.0206 / 0.1037
[1/5][200/724]	Loss_D: 0.4582	Loss_G: 4.2092	D(x): 0.7794	D(G(z)): 0.1146 / 0.0345
[1/5][250/724]	Loss_D: 0.4647	Loss_G: 4.8299	D(x): 0.9199	D(G(z)): 0.2777 / 0.0180
[1/5][300/724]	Loss_D: 0.6206	Loss_G: 6.1235	D(x): 0.8670	D(G(z)): 0.3202 / 0.0045
